"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 18 12:05:02 GMT 2025","Sat Jan 18 12:05:02 GMT 2025","4","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator11]",""
"passed","Sat Jan 18 12:04:42 GMT 2025","Sat Jan 18 12:04:42 GMT 2025","197","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator1]",""
"failed","Sat Jan 18 12:04:49 GMT 2025","Sat Jan 18 12:04:55 GMT 2025","6636","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator5]",""
"passed","Sat Jan 18 12:04:49 GMT 2025","Sat Jan 18 12:04:49 GMT 2025","10","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator3]",""
"passed","Sat Jan 18 12:05:02 GMT 2025","Sat Jan 18 12:05:02 GMT 2025","8","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator7]",""
"passed","Sat Jan 18 12:05:02 GMT 2025","Sat Jan 18 12:05:02 GMT 2025","8","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator8]",""
"passed","Sat Jan 18 12:05:02 GMT 2025","Sat Jan 18 12:05:02 GMT 2025","7","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator10]",""
"passed","Sat Jan 18 12:04:42 GMT 2025","Sat Jan 18 12:04:42 GMT 2025","70","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator0]",""
"failed","Sat Jan 18 12:05:04 GMT 2025","Sat Jan 18 12:05:27 GMT 2025","23589","tests.login_page","test_login_page","TestLoginPage","","","test_login_full_flow",""
"failed","Sat Jan 18 12:04:56 GMT 2025","Sat Jan 18 12:05:02 GMT 2025","6619","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator6]",""
"passed","Sat Jan 18 12:04:49 GMT 2025","Sat Jan 18 12:04:49 GMT 2025","8","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator4]",""
"passed","Sat Jan 18 12:05:03 GMT 2025","Sat Jan 18 12:05:04 GMT 2025","436","tests.login_page","test_login_page","TestLoginPage","","","test_login_invalid_email[fake@emailcom]",""
"passed","Sat Jan 18 12:05:02 GMT 2025","Sat Jan 18 12:05:02 GMT 2025","8","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator9]",""
"passed","Sat Jan 18 12:05:02 GMT 2025","Sat Jan 18 12:05:03 GMT 2025","698","tests.login_page","test_login_page","TestLoginPage","","","test_login_invalid_email[not-email]",""
"failed","Sat Jan 18 12:04:42 GMT 2025","Sat Jan 18 12:04:49 GMT 2025","6575","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator2]",""
